Componente,Peso,Posizione,Sergio Mattarella bis,Mario Draghi,Silvio Berlusconi,Giuliano Amato,Pierferdinando Casini,Letizia Moratti,Marta Cartabia,Paolo Gentiloni,Dario Franceschini,Romano Prodi,Walter Veltroni,Elisabetta Casellati
Leu,18,1,pro,null,contro,contro,contro,contro,contro,pro,pro,pro,pro,contro
Pd - Tendenza Letta,72,4,pro,pro,contro,pro,contro,contro,pro,pro,pro,pro,pro,contro
Pd - Base riformista,60,5,pro,null,contro,pro,pro,contro,pro,pro,pro,pro,pro,pro
Delegati regionali csx,25,6,pro,null,contro,pro,contro,contro,pro,pro,pro,pro,pro,contro
Centro democratico,6,7,pro,null,contro,pro,contro,contro,pro,pro,pro,pro,pro,pro
M5s - Contiani,78,8,pro,null,contro,contro,contro,contro,contro,pro,pro,pro,pro,contro
M5s - Dimaiani,78,9,pro,pro,contro,pro,contro,contro,contro,pro,pro,pro,pro,contro
M5s - Terza via,77,10,pro,null,contro,contro,contro,contro,contro,pro,pro,pro,pro,contro
Autonomie,12,12,pro,contro,contro,pro,contro,pro,pro,pro,pro,pro,pro,pro
Senatori a vita non iscritti,2,13,pro,pro,contro,pro,contro,contro,contro,contro,contro,contro,contro,contro
L'alternativa,18,14,pro,contro,contro,pro,contro,pro,pro,contro,contro,contro,contro,pro
Azione +Eu,5,17,pro,null,contro,pro,contro,pro,pro,pro,pro,pro,pro,pro
Italia Viva,42,11,pro,pro,pro,pro,pro,pro,pro,pro,pro,contro,contro,pro
Nci-Rinascimento,5,18,pro,contro,pro,pro,pro,pro,pro,pro,pro,contro,contro,pro
Misto vari,51,19,pro,contro,pro,pro,pro,pro,pro,contro,contro,pro,pro,pro
Coraggio Italia,29,21,pro,null,pro,pro,pro,pro,pro,pro,pro,contro,contro,pro
Fi - I riformisti,40,22,pro,pro,pro,pro,pro,pro,pro,contro,contro,contro,contro,pro
Fi - I lealisti di Silvio,89,23,pro,contro,pro,contro,pro,contro,contro,contro,contro,contro,contro,pro
Delegati regionali cdx,33,24,pro,null,pro,pro,pro,pro,contro,contro,contro,contro,contro,pro
Maie-altri,9,25,pro,contro,pro,pro,contro,pro,pro,pro,pro,pro,pro,pro
Lega,197,32,pro,null,pro,pro,pro,pro,contro,contro,contro,contro,contro,pro
Fratelli d'Italia,58,33,contro,pro,pro,contro,pro,pro,contro,contro,contro,contro,contro,pro
Italexit,3,99,pro,contro,pro,contro,contro,contro,contro,contro,contro,contro,contro,contro
